,label,时间,原始重量,稳定重量,轴重,su_ad,wpu_x,wpu_y,wpu_z,su_x,su_y,su_z,原始重量_diff,稳定重量_diff,轴重_diff,su_ad_diff,wpu_x_diff,wpu_y_diff,wpu_z_diff,su_x_diff,su_y_diff,su_z_diff,轨迹时间,速度,估计重量
89,0,2023-12-24 00:04:27,-10176,0,-10176,33682,12672,-567,77310,2834,-609,86978,155,0,-34,3,14,-3,-14,-5,0,5,2023-12-24 00:05:21,0.0,0.0
90,0,2023-12-24 00:04:30,-10287,0,-10087,33674,12675,-559,77307,2834,-609,86973,-111,0,89,-8,3,8,-3,0,0,-5,2023-12-24 00:05:21,0.0,0.0
91,0,2023-12-24 00:04:33,-10164,0,-10265,33690,12665,-574,77316,2839,-609,86967,123,0,-178,16,-10,-15,9,5,0,-6,2023-12-24 00:05:21,0.0,0.0
92,0,2023-12-24 00:04:37,-10098,0,-10276,33691,12670,-575,77311,2834,-609,86978,66,0,-11,1,5,-1,-5,-5,0,11,2023-12-24 00:05:21,0.0,0.0
93,0,2023-12-24 00:04:40,-9986,0,-10098,33675,12676,-565,77305,2834,-604,86978,112,0,178,-16,6,10,-6,0,5,0,2023-12-24 00:05:21,0.0,0.0
94,0,2023-12-24 00:04:43,-10265,0,-10398,33702,12673,-591,77307,2834,-604,86978,-279,0,-300,27,-3,-26,2,0,0,0,2023-12-24 00:05:21,0.0,0.0
95,0,2023-12-24 00:04:45,-10387,0,-10309,33694,12683,-583,77297,2839,-604,86973,-122,0,89,-8,10,8,-10,5,0,-5,2023-12-24 00:05:21,0.0,0.0
96,0,2023-12-24 00:04:48,-10075,0,-10164,33681,12673,-566,77309,2834,-609,86973,312,0,145,-13,-10,17,12,-5,-5,0,2023-12-24 00:05:21,0.0,0.0
97,0,2023-12-24 00:04:51,-10354,0,-10309,33694,12667,-578,77314,2834,-609,86978,-279,0,-145,13,-6,-12,5,0,0,5,2023-12-24 00:05:21,0.0,0.0
98,0,2023-12-24 00:04:54,-10064,0,-10309,33694,12658,-583,77323,2845,-604,86973,290,0,0,0,-9,-5,9,11,5,-5,2023-12-24 00:05:21,0.0,0.0
99,0,2023-12-24 00:04:57,-10198,0,-10320,33695,12699,-585,77282,2834,-604,86978,-134,0,-11,1,41,-2,-41,-11,0,5,2023-12-24 00:05:21,0.0,0.0
100,0,2023-12-24 00:05:01,-10109,0,-10075,33673,12667,-563,77314,2834,-604,86973,89,0,245,-22,-32,22,32,0,0,-5,2023-12-24 00:05:21,0.0,0.0
101,0,2023-12-24 00:05:04,-10287,0,-10053,33671,12675,-561,77307,2834,-604,86984,-178,0,22,-2,8,2,-7,0,0,11,2023-12-24 00:05:21,0.0,0.0
102,0,2023-12-24 00:05:07,-10254,0,-10198,33684,12665,-569,77316,2828,-609,86984,33,0,-145,13,-10,-8,9,-6,-5,0,2023-12-24 00:05:21,0.0,0.0
103,0,2023-12-24 00:05:09,-10276,0,-10343,33697,12683,-581,77297,2834,-609,86978,-22,0,-145,13,18,-12,-19,6,0,-6,2023-12-24 00:05:21,0.0,0.0
104,0,2023-12-24 00:05:12,-10109,0,-10131,33678,12675,-568,77307,2834,-604,86973,167,0,212,-19,-8,13,10,0,5,-5,2023-12-24 00:05:21,0.0,0.0
105,0,2023-12-24 00:05:15,-10409,0,-10187,33683,12674,-572,77307,2834,-604,86978,-300,0,-56,5,-1,-4,0,0,0,5,2023-12-24 00:05:21,0.0,0.0
106,0,2023-12-24 00:05:18,-10320,0,-10287,33692,12671,-581,77310,2834,-604,86978,89,0,-100,9,-3,-9,3,0,0,0,2023-12-24 00:05:21,0.0,0.0
107,0,2023-12-24 00:05:21,-10254,0,-10365,33699,12651,-587,77330,2834,-604,86978,66,0,-78,7,-20,-6,20,0,0,0,2023-12-24 00:05:21,0.0,0.0
108,0,2023-12-24 00:05:25,-10164,0,-10087,33674,12675,-559,77307,2834,-609,86978,90,0,278,-25,24,28,-23,0,-5,0,2023-12-24 00:10:21,0.0,0.0
109,0,2023-12-24 00:05:28,-10142,0,-10131,33678,12686,-564,77296,2834,-609,86978,22,0,-44,4,11,-5,-11,0,0,0,2023-12-24 00:10:21,0.0,0.0
110,0,2023-12-24 00:05:31,-10142,0,-10153,33680,12676,-565,77305,2834,-609,86978,0,0,-22,2,-10,-1,9,0,0,0,2023-12-24 00:10:21,0.0,0.0
111,0,2023-12-24 00:05:33,-10187,0,-10265,33690,12655,-574,77326,2834,-609,86978,-45,0,-112,10,-21,-9,21,0,0,0,2023-12-24 00:10:21,0.0,0.0
112,0,2023-12-24 00:05:36,-10164,0,-10265,33690,12667,-574,77313,2834,-609,86978,23,0,0,0,12,0,-13,0,0,0,2023-12-24 00:10:21,0.0,0.0
113,0,2023-12-24 00:05:39,-10220,0,-10365,33699,12683,-583,77297,2834,-609,86978,-56,0,-100,9,16,-9,-16,0,0,0,2023-12-24 00:10:21,0.0,0.0
114,0,2023-12-24 00:05:42,-10220,0,-9953,33662,12674,-547,77308,2834,-609,86978,0,0,412,-37,-9,36,11,0,0,0,2023-12-24 00:10:21,0.0,0.0
115,0,2023-12-24 00:05:45,-10176,0,-10198,33684,12711,-568,77270,2834,-609,86978,44,0,-245,22,37,-21,-38,0,0,0,2023-12-24 00:10:21,0.0,0.0
116,0,2023-12-24 00:05:49,-10309,0,-10187,33683,12688,-568,77293,2845,-609,86967,-133,0,11,-1,-23,0,23,11,0,-11,2023-12-24 00:10:21,0.0,0.0
117,0,2023-12-24 00:05:52,-10354,0,-10198,33684,12674,-569,77307,2845,-609,86967,-45,0,-11,1,-14,-1,14,0,0,0,2023-12-24 00:10:21,0.0,0.0
118,0,2023-12-24 00:05:55,-10320,0,-10409,33703,12682,-587,77299,2839,-609,86973,34,0,-211,19,8,-18,-8,-6,0,6,2023-12-24 00:10:21,0.0,0.0
119,0,2023-12-24 00:05:57,-10075,0,-10053,33671,12687,-556,77295,2845,-609,86967,245,0,356,-32,5,31,-4,6,0,-6,2023-12-24 00:10:21,0.0,0.0
